"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","mdlsport_id"
"144949","8691","-5428","184","-589","5563","4818","68.120002746582","26.1000003814697","37.1100006103516","11587","-1","360885","2019-01-01 00:05:53","160"
"144950","5603","-4125","1585","-1520","4268","4824","71.0400009155273","19.5799999237061","53.8600006103516","11587","-1","360926","2019-01-01 00:05:53","160"
"144951","4817","-2701","9","-1514","3470","5488","71","9.73999977111816","66.9599990844727","11587","-1","360967","2019-01-01 00:05:53","160"
"144952","754","-264","5874","1792","1118","4715","69.8099975585938","0.0199999995529652","77.4599990844727","11587","-2","361008","2019-01-01 00:05:53","160"
"144953","2642","-1164","-3189","2240","1220","5154","76.5500030517578","-12.9099998474121","81.629997253418","11587","-2","361049","2019-01-01 00:05:53","160"
"144954","2043","2730","1029","-1394","1737","3929","72.5699996948242","-21.8400001525879","90.8199996948242","11587","-2","361090","2019-01-01 00:05:53","160"
"144955","-2811","-552","-4539","-2025","1951","8358","67.5400009155274","-35.0999984741211","97.2099990844727","11587","-2","361131","2019-01-01 00:05:53","160"
"144956","25484","-5011","9409","-8854","6946","9058","21.9300003051758","-47.1100006103516","136.619995117188","11587","-2","361172","2019-01-01 00:05:53","160"
"144957","7414","-15233","302","-6496","-2510","7905","-13.289999961853","-49.4900016784668","161.149993896484","11587","-2","361213","2019-01-01 00:05:53","160"
"144958","32767","-12772","17934","-13073","4467","10327","-60.6199989318848","-31.7099990844727","-170.279998779297","11587","-2","361254","2019-01-01 00:05:53","160"
"144959","10792","-9656","6379","-12717","6223","-6746","-79.9000015258789","-35.7299995422363","177.339996337891","11587","-2","361295","2019-01-01 00:05:53","160"
"144960","1518","-5506","17055","-11816","9756","-7825","-85.6800003051758","-52.7700004577637","139.330001831055","11587","1","361336","2019-01-01 00:05:53","160"
"144961","9560","-8084","8048","-5523","11182","-11507","-50.8300018310547","-66.5100021362305","79.9800033569336","11587","1","361377","2019-01-01 00:05:53","160"
"144962","-3090","-12434","8344","391","11290","-11617","7.73999977111816","-45.8600006103516","4.51999998092651","11587","2","361418","2019-01-01 00:05:53","160"
"144963","-3058","-12435","-120","5526","7808","-5172","24.5499992370605","-18.1499996185303","-9.65999984741211","11587","2","361459","2019-01-01 00:05:53","160"
"144964","-132","-13903","63","1331","6936","-2468","31.6499996185303","-1.37999999523163","-7.80000019073486","11587","2","361500","2019-01-01 00:05:53","160"
"144965","8122","-12504","-1461","3902","7135","3941","39.7000007629394","8.56999969482422","5.63000011444092","11587","-1","361541","2019-01-01 00:05:53","160"
"144966","5166","-7589","881","1194","6854","5249","48.7200012207031","13.0699996948242","25.0799999237061","11587","-1","361582","2019-01-01 00:05:53","160"
"144967","3842","-6015","833","1245","6839","7154","56.2599983215332","12.460000038147","48.1599998474121","11587","-2","361623","2019-01-01 00:05:53","160"
"144968","1168","-5406","-266","-3712","3875","8037","55.5699996948242","4.46000003814697","70.9499969482422","11587","-2","361664","2019-01-01 00:05:53","160"
"144969","14219","-10251","-6560","-4138","364","13841","44.8400001525879","-16.6100006103516","91.5299987792969","11587","-2","361705","2019-01-01 00:05:53","160"
"144970","10250","-13637","236","-11045","-3461","4243","13.8199996948242","-28.3299999237061","111.029998779297","11587","-2","361746","2019-01-01 00:05:53","160"
"144971","27176","-14119","14512","-16754","1658","7575","-32.8899993896484","-33.0400009155273","130.570007324219","11587","-2","361787","2019-01-01 00:05:53","160"
"144972","16651","-6710","16485","-10856","-3635","-4593","-63.6500015258789","-39.1100006103516","130.570007324219","11588","-2","361828","2019-01-01 00:05:53","160"
"144973","5270","-10003","19754","-9103","6338","-9310","-73.6999969482422","-53.6399993896484","111.23999786377","11588","1","361869","2019-01-01 00:05:53","160"
"144974","-3689","-12985","10646","-3283","7601","-11807","-31.8799991607666","-66.4800033569336","49.6500015258789","11588","1","361910","2019-01-01 00:05:53","160"
"144975","562","-8215","8839","-2578","10633","-8263","3.16000008583069","-44.6500015258789","0.0799999982118607","11588","1","361951","2019-01-01 00:05:53","160"
"144976","-2492","-9718","6378","3351","5702","-3245","14.8599996566772","-26.6200008392334","-13.3299999237061","11588","1","361992","2019-01-01 00:05:53","160"
"144977","13381","-11574","-6715","4170","7212","225","24.5599994659424","-12.5","-8.27000045776367","11588","1","362033","2019-01-01 00:05:53","160"
"144978","8202","-7985","-386","5410","7046","2175","35.060001373291","-1.02999997138977","4.53999996185303","11588","-1","362074","2019-01-01 00:05:53","160"
"144979","3839","-6248","940","4494","7577","5307","47.4799995422363","6.03000020980835","23.2199993133545","11588","-1","362115","2019-01-01 00:05:53","160"
"144980","1405","-7908","762","3560","7022","7402","58.6500015258789","5.5","47.0999984741211","11588","-1","362156","2019-01-01 00:05:53","160"
"144981","1118","-6560","-2038","2369","1648","10227","66.0100021362305","-9.52000045776367","65.4700012207031","11588","-1","362197","2019-01-01 00:05:53","160"
"144982","17739","-17104","246","-8179","4541","15195","50.2200012207031","-37.060001373291","87.3600006103516","11588","-1","362238","2019-01-01 00:05:53","160"
"144983","23746","-10706","252","-11160","-1450","7287","-0.75","-48.8699989318848","124.720001220703","11588","-1","362279","2019-01-01 00:05:53","160"
"144984","15612","-8722","13426","-18967","8695","1208","-45.7000007629395","-38.3199996948242","132.149993896484","11588","-1","362320","2019-01-01 00:05:53","160"
"144985","7620","-7833","16527","-12273","6847","-7960","-65.6500015258789","-37.75","103.639999389648","11589","1","362361","2019-01-01 00:05:53","160"
"144986","-1526","-12996","17913","-5924","8767","-10967","-57.8899993896484","-52.2200012207031","63.6300010681152","11589","1","362402","2019-01-01 00:05:53","160"
"144987","3507","-10405","4698","1723","10200","-7881","-21.1900005340576","-47.6500015258789","14.6499996185303","11589","1","362443","2019-01-01 00:05:53","160"
"144988","-785","-14349","2469","5655","5864","-5468","4.55000019073486","-31.2999992370605","-10.4700002670288","11589","2","362484","2019-01-01 00:05:53","160"
"144989","1948","-14656","2378","4173","7698","1190","15.1400003433228","-14.210000038147","-11.4099998474121","11589","2","362525","2019-01-01 00:05:53","160"
"144990","-2146","-12872","2195","3557","6199","3753","21.4599990844727","1.36000001430511","-2.49000000953674","11589","-1","362566","2019-01-01 00:05:53","160"
"144991","7439","-5068","3888","3050","8280","5284","31.3400001525879","11.8699998855591","16.1599998474121","11589","-1","362607","2019-01-01 00:05:53","160"
"144992","1273","-6445","2069","3664","7726","8313","45.9300003051758","16.4200000762939","41.1300010681152","11589","-1","362648","2019-01-01 00:05:53","160"
"144993","6294","-7638","-5672","-1334","2823","10113","54.9099998474121","4.67999982833862","65.9199981689453","11589","-1","362689","2019-01-01 00:05:53","160"
"144994","12260","-17506","2486","-6971","1279","16694","39.0400009155273","-16.8600006103516","89.7600021362305","11589","-1","362730","2019-01-01 00:05:53","160"
"144995","8393","-13795","-2394","-11021","-3224","2789","5.55999994277954","-26.1900005340576","112.940002441406","11589","-1","362771","2019-01-01 00:05:53","160"
"144996","12255","-10805","12676","-13254","791","7693","-35.25","-27.8799991607666","128.940002441406","11589","-1","362812","2019-01-01 00:05:53","160"
"144997","25017","-3523","8339","-6248","-4636","-2550","-59.4000015258789","-27.2900009155273","137.389999389648","11589","-1","362853","2019-01-01 00:05:53","160"
"144998","6770","-11573","12676","-12269","9864","-11222","-71.8600006103516","-43.8499984741211","116.900001525879","11590","1","362894","2019-01-01 00:05:53","160"
"144999","940","-12768","6607","-7484","12130","-11417","-47.2599983215332","-54.8499984741211","55.810001373291","11590","1","362934","2019-01-01 00:05:53","160"
"145000","-3463","-14943","5934","398","9446","-8967","-13.8800001144409","-42.0299987792969","-0.409999996423721","11590","2","362975","2019-01-01 00:05:53","160"
"145001","-3347","-17375","282","5474","8198","-1155","4.80000019073486","-22.3899993896484","-15.6499996185303","11590","2","363017","2019-01-01 00:05:53","160"
"145002","13236","-13073","-8239","3507","8368","568","16.3500003814697","-6.30000019073486","-6.32000017166138","11590","2","363058","2019-01-01 00:05:53","160"
"145003","6156","-7592","1257","4351","7303","5048","25.1900005340576","4.76000022888184","8.14999961853027","11590","-1","363099","2019-01-01 00:05:53","160"
"145004","6464","-6655","621","3733","8676","8385","38.7400016784668","13.8800001144409","34.0900001525879","11590","-1","363152","2019-01-01 00:05:53","160"
"145005","5980","-7095","-6427","2308","4159","9249","52.5200004577637","8.39999961853027","60.6300010681152","11590","-2","363180","2019-01-01 00:05:53","160"
"145006","14645","-11049","-5073","-3490","642","14495","48.7400016784668","-11.9399995803833","80.9800033569336","11590","-2","363221","2019-01-01 00:05:53","160"
"145007","11923","-14372","-3753","-10701","-3620","8263","19.5100002288818","-29.0900001525879","101.230003356934","11590","-2","363262","2019-01-01 00:05:53","160"
"145008","32767","-8532","13120","-17647","4428","3270","-29.4400005340576","-32.25","123.75","11590","-2","363303","2019-01-01 00:05:53","160"
"145009","10798","-4770","17689","-12082","947","-7337","-57.6800003051758","-39.4000015258789","111.110000610352","11590","-2","363344","2019-01-01 00:05:53","160"
"145010","6065","-9853","12769","-6995","4832","-11100","-58.0699996948242","-52.0099983215332","79.9700012207031","11590","1","363385","2019-01-01 00:05:53","160"
"145011","-4096","-14022","8821","-5085","6976","-8582","-25.3199996948242","-60.1800003051758","26.2999992370605","11591","1","363426","2019-01-01 00:05:53","160"
"145012","-5306","-8110","8261","1245","5273","-4034","-4.53999996185303","-46.1399993896484","-6.48000001907349","11591","1","363467","2019-01-01 00:05:53","160"
"145013","975","-10083","4272","4726","6749","906","4.15999984741211","-30.2399997711182","-8.92000007629395","11591","1","363508","2019-01-01 00:05:53","160"
"145014","1211","-9107","-3553","3697","6566","-1072","14.0699996948242","-15.6000003814697","-4.17999982833862","11591","-1","363549","2019-01-01 00:05:53","160"
"145015","2246","-7255","949","3199","6936","3359","21.2199993133545","-5.07000017166138","6.44000005722046","11591","-1","363591","2019-01-01 00:05:53","160"
"145016","3005","-5170","5727","6345","6230","5385","32.0099983215332","4.8600001335144","22.2399997711182","11591","-1","363631","2019-01-01 00:05:53","160"
"145017","2509","-7444","-4997","2296","7574","9665","46.7900009155273","5.09000015258789","45.7200012207031","11591","-1","363672","2019-01-01 00:05:53","160"
"145018","2578","-9602","-1886","-1771","-872","12538","43.9700012207031","-8.72000026702881","70.629997253418","11591","-1","363713","2019-01-01 00:05:53","160"
"145019","20880","-10356","4635","-9920","2635","10268","16.3400001525879","-26.6000003814697","102.089996337891","11591","-2","363754","2019-01-01 00:05:53","160"
"145020","14979","-8123","4484","-11739","-2426","5244","-21.5900001525879","-33.6300010681152","122.019996643066","11591","-2","363795","2019-01-01 00:05:53","160"
"145021","21810","-2486","14436","-11767","3616","-1456","-54.7900009155273","-28.1200008392334","127.400001525879","11591","-2","363836","2019-01-01 00:05:53","160"
"145022","6245","-9589","13568","-10472","7723","-9155","-68.7300033569336","-39.1599998474121","106.550003051758","11591","1","363877","2019-01-01 00:05:53","160"
"145023","-3158","-9761","6250","-8165","11822","-9327","-56.2999992370605","-47.4199981689453","55.7200012207031","11592","1","363918","2019-01-01 00:05:53","160"
"145024","-895","-9745","12258","232","7980","-8612","-31.9200000762939","-44.060001373291","7.48999977111816","11592","2","363959","2019-01-01 00:05:53","160"
"145025","-1735","-14544","1909","6258","8028","-2183","-6.42999982833862","-30.7999992370605","-14.1000003814697","11592","2","364000","2019-01-01 00:05:53","160"
"145026","8211","-13267","-6090","3358","7698","200","5.57999992370606","-13.0200004577637","-11.8999996185303","11592","2","364041","2019-01-01 00:05:53","160"
"145027","6429","-10665","-157","3142","6410","5085","11.5299997329712","-0.610000014305115","-1.51999998092651","11592","-1","364082","2019-01-01 00:05:53","160"
"145028","4593","-8722","3775","4248","6493","8457","20.6200008392334","12.1800003051758","18.4799995422363","11592","-1","364123","2019-01-01 00:05:53","160"
"145029","4299","-9661","-4815","4912","4299","10200","37.8400001525879","13.6000003814697","45.5099983215332","11592","-1","364164","2019-01-01 00:05:53","160"
"145030","-1424","-6606","4293","-3491","2338","10616","41.5299987792969","2.88000011444092","68.6900024414063","11592","-1","364207","2019-01-01 00:05:53","160"
"145031","27865","-15840","6467","-10089","5745","13996","20.8700008392334","-12.8999996185303","100.73999786377","11592","-1","364246","2019-01-01 00:05:53","160"
"145032","24429","-16134","2730","-13738","-2290","5150","-11.1800003051758","-22.6299991607666","121.319999694824","11592","-1","364287","2019-01-01 00:05:53","160"
"145033","16360","-6410","16041","-12659","2022","-2125","-49.0499992370606","-16.7199993133545","121.220001220703","11592","-1","364328","2019-01-01 00:05:53","160"
"145034","12452","-8272","18064","-10085","2496","-6621","-70.25","-27.8799991607666","113.910003662109","11592","-1","364369","2019-01-01 00:05:53","160"
"145035","-7190","-13816","10954","-9127","13640","-11055","-70.9599990844727","-44.0299987792969","76.2799987792969","11592","1","364410","2019-01-01 00:05:53","160"
"145036","2430","-10458","6078","-1928","11988","-8513","-44.2400016784668","-44.1500015258789","21.4899997711182","11593","1","364451","2019-01-01 00:05:53","160"
"145037","-4837","-14453","3709","6930","7426","-3758","-15.0500001907349","-33.8300018310547","-9.89000034332275","11593","2","364492","2019-01-01 00:05:53","160"
"145038","5676","-13596","-3952","5361","5516","1034","0.479999989271164","-17.9599990844727","-12.3000001907349","11593","2","364533","2019-01-01 00:05:53","160"
"145039","-2260","-12418","2671","2377","4771","5209","4.53000020980835","-6.03000020980835","-7.21999979019165","11593","-1","364574","2019-01-01 00:05:53","160"
"145040","8981","-4949","9467","4967","6478","6660","12.1700000762939","7.15000009536743","9.44999980926514","11593","-1","364615","2019-01-01 00:05:53","160"
"145041","3928","-6808","204","5563","6192","7486","30.6200008392334","13.1000003814697","30.6599998474121","11593","-1","364656","2019-01-01 00:05:53","160"
"145042","1753","-9483","-3384","3625","1324","9059","45.560001373291","7.73000001907349","52.7700004577637","11593","-1","364697","2019-01-01 00:05:53","160"
"145043","5587","-15809","-2641","3989","-2683","15063","52.0299987792969","-16.0499992370605","70.120002746582","11593","-1","364738","2019-01-01 00:05:53","160"
"145044","27791","-12666","5295","-9285","5213","11489","26.9400005340576","-41.6300010681152","102.709999084473","11593","-1","364779","2019-01-01 00:05:53","160"
"145045","15020","-8881","4661","-10481","162","7043","-19.5200004577637","-43.2599983215332","133.399993896484","11593","-1","364820","2019-01-01 00:05:53","160"
"145046","24523","-4150","9200","-7889","935","6756","-53.8300018310547","-31.0300006866455","150.649993896484","11593","-1","364861","2019-01-01 00:05:53","160"
"145047","14634","-2023","10684","-10553","6302","-5207","-71.4700012207031","-30.4300003051758","144.380004882813","11593","-1","364902","2019-01-01 00:05:53","160"
"145048","-1332","-5269","10912","-8726","14310","-8314","-71.0699996948242","-41.2599983215332","101.690002441406","11593","1","364943","2019-01-01 00:05:53","160"
"145049","-1951","-11437","5241","-3658","13622","-11507","-45.310001373291","-43.8400001525879","44.5900001525879","11594","1","364984","2019-01-01 00:05:53","160"
"145050","-1106","-11027","-2560","719","12422","-6415","-21.7700004577637","-28.2299995422363","1.24000000953674","11594","2","365025","2019-01-01 00:05:53","160"
"145051","22142","-11576","-13818","7093","5943","696","-5.28000020980835","-9.68000030517578","-7.17000007629395","11594","2","365066","2019-01-01 00:05:53","160"
"145052","9708","-10627","-2325","7096","5682","4846","10.9700002670288","2.33999991416931","1.72000002861023","11594","-1","365107","2019-01-01 00:05:53","160"
"145053","3266","-5709","-1641","1612","6759","5760","22.1700000762939","12.5900001525879","17.9500007629395","11594","-1","365148","2019-01-01 00:05:53","160"
"145054","4320","-3900","-5407","-488","3469","7054","28.9099998474121","16.3500003814697","38.2700004577637","11594","-1","365189","2019-01-01 00:05:53","160"
"145055","2616","-8631","-60","-6550","-658","12003","24.0400009155273","7.82999992370606","59.2599983215332","11594","-1","365230","2019-01-01 00:05:53","160"
"145056","15414","-8008","4100","-7181","-5519","4913","5.42000007629395","-6.15999984741211","80.1999969482422","11594","-1","365271","2019-01-01 00:05:53","160"
"145057","18103","-9337","479","-11664","-3703","5311","-20.0200004577637","-22.1700000762939","95.1900024414062","11594","-1","365312","2019-01-01 00:05:53","160"
"145058","18778","-1976","19283","-8767","-2380","-4794","-49.8699989318848","-27.4300003051758","97.3499984741211","11594","-1","365353","2019-01-01 00:05:53","160"
"145059","1656","-4409","12141","-6882","3128","-6979","-58.310001373291","-40.560001373291","85.370002746582","11594","1","365394","2019-01-01 00:05:53","160"
"145060","683","-5614","13295","-4694","6514","-8449","-49.8600006103516","-48.8400001525879","53.8199996948242","11594","1","365435","2019-01-01 00:05:53","160"
"145061","-3573","-7161","11263","664","7680","-7791","-23.2999992370605","-44.7599983215332","10.75","11595","2","365476","2019-01-01 00:05:53","160"
"145062","152","-10252","-252","3496","5558","-4416","-3.55999994277954","-32.7599983215332","-10.2600002288818","11595","2","365517","2019-01-01 00:05:53","160"
"145063","-5076","-14992","3897","2616","6616","-294","6.92000007629395","-20.3500003814697","-13.8400001525879","11595","2","365558","2019-01-01 00:05:53","160"
"145064","8127","-11273","1620","5195","7060","4363","14.1300001144409","-6.17999982833862","-1.12999999523163","11595","-1","365599","2019-01-01 00:05:53","160"
"145065","3562","-7230","-3454","790","7164","4895","21.5300006866455","6.26999998092651","13.710000038147","11595","-1","365640","2019-01-01 00:05:53","160"
"145066","7196","-4362","-1749","-2369","5307","7323","21.8999996185303","14.8199996948242","34.6800003051758","11595","-2","365682","2019-01-01 00:05:53","160"
"145067","1972","-5311","297","496","-1887","9688","22.9899997711182","10.789999961853","54.3400001525879","11595","-2","365722","2019-01-01 00:05:53","160"
"145068","12977","-5608","1013","-4219","-3907","7302","19.5100002288818","-7.71000003814697","73.5500030517578","11595","-2","365763","2019-01-01 00:05:53","160"
"145069","17952","-12534","-333","-12609","-2319","9172","-7.46999979019165","-21.9400005340576","91.9199981689453","11595","-2","365804","2019-01-01 00:05:53","160"
"145070","21730","-3432","15809","-11972","-3170","-2327","-44.4599990844727","-24.3199996948242","101.800003051758","11595","-2","365845","2019-01-01 00:05:53","160"
"145071","13034","-3008","12770","-7455","243","-6223","-62.5400009155274","-37.2799987792969","98.120002746582","11595","1","365886","2019-01-01 00:05:53","160"
"145072","1022","-9675","15218","-6914","4234","-10469","-63.5","-54.439998626709","75.2900009155273","11596","1","365927","2019-01-01 00:05:53","160"
"145073","-14","-6574","11487","-2193","8293","-7499","-31.2900009155273","-58.3300018310547","25.2900009155273","11596","1","365968","2019-01-01 00:05:53","160"
"145074","-1516","-9539","1329","2436","5257","-5361","-3.01999998092651","-46.9300003051758","-6.92000007629395","11596","2","366009","2019-01-01 00:05:53","160"
"145075","2152","-8403","-8570","1995","5259","-250","5.55999994277954","-32.4599990844727","-14.6499996185303","11596","2","366050","2019-01-01 00:05:53","160"
"145076","7553","-11389","2729","4395","5829","2148","7.51999998092651","-18.9899997711182","-9.69999980926514","11596","-1","366091","2019-01-01 00:05:53","160"
"145077","-31","-12363","5253","4697","7544","5108","14.4399995803833","-3.44000005722046","1.92999994754791","11596","-1","366132","2019-01-01 00:05:53","160"
"145078","6849","-10875","-1082","3384","8115","8745","25.7099990844727","9.02000045776367","25.0799999237061","11596","-1","366173","2019-01-01 00:05:53","160"
